symbol	Protein Length	Kinome	DING	Ontogen	Foundation	RAS_Pathway
PALD1	856					
ATP6V0A2	856					
DDR2	855	DDR2			DDR2	
ZNF814	855			ZNF814		
PRSS36	855					
DNAAF5	855					
SPICE1	855					
RHBDF1	855					
XAB2	855					
ST14	855					
GSAP	854					
ESPN	854					
PDE6B	854					
VPS41	854					
AKAP4	854					
PARP9	854					
PARP8	854					
SECISBP2	854					
ZNF341	854					
DISC1	854					
AKAP3	853					
TGS1	853					
C1orf112	853					
DNMT3B	853					
KDM1A	852					
SHROOM1	852					
ZNF484	852					
MACC1	852					
TAS1R3	852					
PIWIL4	852					
LONP2	852					
KIF18B	852					
ZSCAN29	852					
MLXIPL	852					
THSD1	852					
STAT2	851					
TGFBR3	851					
KANK2	851					
LPIN3	851					
ESF1	851					
DDX31	851					
TTLL8	850					
NRG2	850					
PLA2G4F	849					
CCDC87	849					
AHR	848			AHR		
WDR78	848					
CRNKL1	848			CRNKL1		
SLCO5A1	848					
NLGN3	848					
MAP3K11	847	MAP3K11		MAP3K11		
PYGL	847					
CD22	847				CD22	
STAT6	847					
MATR3	847					
FASTKD1	847					
FTSJ3	847					
FSTL5	847					
VAV3	847					
MAP4K5	846	MAP4K5				
CLOCK	846			CLOCK		
DLGAP5	846					
RSBN1L	846					
PTCHD4	846					
ARHGAP12	846					
EXO1	846					
PRMT9	845					
ABCF1	845					
SLITRK2	845					
CDHR5	845					
ARHGEF33	844					
JAKMIP3	844					
PRICKLE2	844					
C7	843					
PYGB	843					
RBM25	843					
OTUD7B	843					
TTC27	843					
TMPRSS7	843					
TTC7B	843					
TTLL6	843					
AXIN2	843		AXIN2	AXIN2		
PYGM	842					
JADE1	842					
FSTL4	842					
UNC5A	842					
OSBPL7	842					
ABCB6	842					
NEK4	841	NEK4				
ARHGEF15	841					
MAP7D1	841					
GRIPAP1	841					
NBPF10	841					
NYAP1	841					
TAS1R1	841					
BACH2	841					
SLITRK6	841					
HSPA4	840					
GPLD1	840					
CFAP221	840					
ESCO1	840					
KANK3	840					
NLGN1	840					
LZTR1	840		LZTR1			
SNX25	840					
ATP6V0A4	840					
MCM8	840			MCM8		
L3MBTL1	840					
NTRK3	839	NTRK3			NTRK3	
TLR4	839		TLR4			
HSPA4L	839					
ATG9A	839					
TRPV1	839					
TAS1R2	839					
ZNF347	839					
VPS16	839					
COG5	839					
ZKSCAN5	839					
OCA2	838					
FAM91A1	838					
KIFC2	838					
GPRASP2	838					
HELLS	838					
SEMA4G	838					
RNF19A	838					
TACC3	838					
NCAM2	837					
ADAMTS4	837					
APBA1	837					
MOGS	837					
STRIP1	837					
SLITRK4	837					
KAT2A	837					
ATP6V0A1	837					
DNAAF2	837					
TFIP11	837					
TELO2	837					
ZHX2	837					
TRPC3	836					
POSTN	836					
ZC3H12B	836					
AKNAD1	836					
ZNF546	836					
TMTC2	836					
CSF3R	836				CSF3R	
EPC1	836			EPC1		
CDCP1	836					
DACT1	836					
TRIM28	835	TRIM28				
TNNI3K	835	TNNI3K				
ADGRE5	835					
CMTR1	835					
MCPH1	835					
NLGN2	835					
BCL11A	835			BCL11A		
POM121B	834					
MSH5	834					
SLC9A3	834					
NEDD9	834					
PROM2	834					
ACAP3	834					
CCSER2	834					
STRIP2	834					
MAP4K1	833	MAP4K1		MAP4K1		
IFT88	833					
VEPH1	833					
EFHB	833					
CCDC110	833					
KIFC3	833					
SEMA4C	833					
ZNF780B	833					
RIPK4	832	RIPK4				
ADAM23	832					
CDH17	832					
TMEM63B	832					
CDH26	832					
SIDT2	832					
KAT2B	832					
SEMA4B	832					
PRICKLE1	831					
SORT1	831					
ZNF777	831					
SLC39A10	831					
SELP	830					
TCIRG1	830					
SCARF1	830					
WDR75	830					
PDE8A	829					
CDH16	829					
CDH3	829					
MCC	829					
ODF2	829					
ELFN1	828					
SOX6	828					
SLMAP	828					
BEND3	828					
MYSM1	828					
ZNF438	828					
PPP1R13L	828					
USP6NL	828					
COG3	828					
SGIP1	828					
GPAM	828					
CDH22	828					
WDR27	827					
CARNS1	827					
VIL1	827					
FAM178B	827					
SIDT1	827					
FAM171A2	826					
HIF1A	826					
ELP2	826					
FAM171B	826					
STT3B	826					
ELAC2	826					
PRDM1	825				PRDM1	
BCAR3	825					
IL4R	825					
HNRNPU	825					
FSCB	825					
LRGUK	825					
TXNDC16	825					
ZNF229	825					
CDC27	824			CDC27		
ADAM8	824					
ADAM17	824					
MAPK8IP2	824					
BICD2	824					
NPAS2	824					
MALT1	824					
DDX20	824					
FAM83G	823					
AREL1	823					
ATMIN	823					
SUPT20HL1	823					
ANKRD20A4	823					
ANKRD20A8P	823					
ANKRD20A2	823					
ANKRD20A1	823					
ANKRD20A3	823					
JADE3	823					
USP16	823					
FES	822	FES				
FER	822	FER				
NTRK2	822	NTRK2		NTRK2	NTRK2	
AP1G1	822					
EPS8	822					
IQCA1	822					
KDM1B	822					
SUSD2	822					
ANAPC2	822					
GTF3C4	822					
CAPN3	821					
ZNF41	821					
EFR3A	821					
BRAT1	821					
CEP95	821					
MAP4K2	820	MAP4K2				
ELFN2	820					
DDX23	820					
ADAM29	820					
AVIL	819					
ADAM9	819					
MYLK3	819					
CDH24	819					
NUP93	819		NUP93	NUP93		
IWS1	819					
CLCN3	818					
ARHGAP44	818					
ARMC9	818					
PLA2G4D	818					
AFAP1L2	818					
ZNF160	818					
PCDHB1	818					
SUPT20HL2	817					
TGM1	817					
DLG3	817					
PPP1R9B	817					
EFR3B	817					
MAPK7	816	MAPK7				
NLGN4X	816					
NLGN4Y	816					
NELL2	816					
PI4KB	816					
TPCN1	816					
EML1	815					
SLC9A1	815					
RBM5	815			RBM5		
ATXN1	815					
KCTD3	815					
CDH15	814					
EIF3B	814					
KIF6	814					
USP45	814					
IGDCC3	814					
GPR156	814					
ARHGAP26	814			ARHGAP26		
SNX29	813					
MAP6	813					
ADAM33	813					
CAPN7	813			CAPN7		
SUN1	812					
NOP2	812					
LRRC41	812					
SYCP2L	812					
CHAMP1	812					
ARPP21	812					
SLC9A2	812					
ZNF839	811					
ECE2	811					
DEPDC1	811					
TRIL	811					
TMPRSS6	811					
RNF10	811					
TLR10	811					
EXOC6B	811					
EVI5	810					
ZC3H11A	810			ZC3H11A		
PLG	810					
ZNF33A	810					
FCHO2	810					
LRRC8A	810					
NELL1	810					
JAKMIP2	810					
UNK	810					
ZNF43	809					
PDE4D	809					
WHAMM	809					
PGBD1	809					
CNGB3	809					
SCYL1	808	SCYL1				
TAP1	808					
TBL3	808					
LRRFIP1	808					
TBC1D10B	808					
ZNF841	808					
ANAPC4	808					
AP5Z1	807					
TMEM63A	807					
OSBP	807					
EPC2	807					
ZNF594	807					
SPON1	807					
PTPN22	807					
PLA2G6	806					
VCP	806					
NUTM2D	806					
TMEM63C	806					
ZC3H11B	805					
TACC1	805					
ZFX	805					
CLCN7	805					
CEP85L	805					
PIK3AP1	805					
TMC6	805					
PNISR	805					
FBXL18	805					
ACE2	805					
PKD2L1	805					
TSR1	804					
SMYD4	804					
DGKB	804					
RASA4B	803					
RASA4	803					
HSP90B1	803					
ZXDB	803					
ZBTB17	803					
ARHGEF7	803					
LRRC8B	803					
CPT1C	803					
LRRC8C	803					
ZNF226	803					
RPS6KA5	802	RPS6KA5				
TARSL2	802					
OPHN1	802					
PTPRA	802					
SCNN1D	802					
RSBN1	802					
CHSY1	802					
NPAS4	802					
ARHGEF19	802					
ALDH16A1	802					
UHRF2	802					
CDC5L	802					
BRD2	801	BRD2				
ZFY	801					
DENND1C	801					
CDH20	801					
PRDM4	801					
PCDHB8	801					
TFR2	801					
ZAK	800	ZAK				
ZBBX	800					
SART1	800					
TAF5	800					
TTLL11	800					
NOC3L	800					
LENG8	800					
PCDHB10	800					
ITGB5	799					
CDH8	799					
ZXDA	799					
PPP1R3F	799					
ZNF227	799					
BEND2	799					
GSG2	798	GSG2				
CSDE1	798		CSDE1	CSDE1		
ITGB1	798					
ITGB7	798					
USP10	798					
SLC9A4	798					
CATSPERD	798					
PPARGC1A	798					
PCDHB2	798					
PCDHB14	798					
PCDHB13	798					
STRN3	797					
IMPG1	797					
TRPC4AP	797					
CASD1	797					
SLC6A5	797					
PKP3	797					
AFG3L2	797					
PCDHB9	797					
PCDHB11	797					
NTRK1	796	NTRK1			NTRK1	
CDH11	796					
NUGGC	796					
LRRC8E	796					
DPP10	796					
REPS1	796					
DDX27	796					
VPS35	796					
SLC4A1AP	796					
IRF2BPL	796					
YY1AP1	796					
TLR6	796					
PCDHB3	796					
MARK1	795	MARK1				
DHX15	795			DHX15		
CDK11B	795					
ALDH18A1	795					
NAALADL2	795					
GPAT2	795					
TBC1D5	795					
SPG7	795					
PLAA	795					
PCDHB5	795					
PCDHB4	795					
PCDHB12	795					
UFL1	794					
FURIN	794					
STAT5A	794					
CDH12	794					
EVI5L	794					
SEL1L	794					
ZNF148	794					
PCDHB6	794					
SOWAHB	793					
KIF3C	793					
CCDC175	793					
TRPC1	793					
CALD1	793					
SF3A1	793					
PLEKHH3	793					
DNAJC10	793					
UHRF1	793					
PCDHB7	793					
RRM1	792					
MGAT5B	792					
RINT1	792					
XRRA1	792					
R3HCC1L	792					
ZNF606	792					
KIFAP3	792					
HCFC2	792					
H6PD	791					
DGKG	791					
FAM47A	791					
MFSD6	791					
SLC26A9	791					
IQUB	791					
IL17RC	791					
ATRIP	791					
TNFAIP3	790		TNFAIP3		TNFAIP3	
CDH6	790					
NCBP1	790					
CDH18	790					
PLEKHG6	790					
SH3D19	790					
PERM1	790					
TRPV3	790					
ZNF560	790					
KIF9	790					
JADE2	790					
ADAM30	790					
ARNT	789					
TAX1BP1	789					
PLCD3	789					
CDH9	789					
LRFN2	789					
MARK2	788	MARK2				
CDHR4	788					
ITGB3	788					
ITGB6	788					
NASP	788					
PDXDC1	788					
HID1	788					
MED15	788					
CDH10	788					
STAT5B	787					
ADAM32	787					
SMO	787			SMO	SMO	
KIAA1586	787					
PCDHB15	787					
ARHGAP10	786					
VWA5A	786					
ELN	786					
CCNF	786					
TLR1	786					
SUPV3L1	786					
SPATA20	786					
CASS4	786					
AP1G2	785					
USP1	785					
SP1	785					
SEMA3F	785					
PCSK7	785					
IFI16	785					
PHTF2	785					
BANK1	785					
COG4	785					
CDH7	785					
TLR2	784					
CDH5	784					
PFKP	784					
SP4	784					
E4F1	784					
RPTN	784					
SIK1	783					
RIN1	783					
CCDC30	783					
RNF43	783		RNF43		RNF43	
TRIM67	783					
PNPT1	783					
CEP89	783					
BRINP2	783					
DDX21	783					
ZNF107	783					
CDK11A	783					
ANO9	782					
GSN	782					
ERCC3	782					
VAC14	782					
ZNF786	782					
CCHCR1	782					
HHIPL1	782					
PPP1R12C	782					
PNPLA8	782					
SEMA3G	782					
CPSF2	782					
VPS51	782					
DNAJC16	782					
SLC45A1	782					
MEFV	781					
PLA2G4B	781					
GCFC2	781					
CTNNB1	781		CTNNB1	CTNNB1	CTNNB1	
SP3	781					
ZNF616	781					
DTHD1	781					
SIX4	781					
SLC26A4	780					
STRN	780					
TSC22D2	780					
PFKM	780					
PFKL	780					
AMPD1	780					
PTPN12	780					
PPP1R21	780					
ACAD11	780					
CATSPER1	780					
BAHD1	780					
CUL5	780					
L3MBTL3	780					
ACO2	780					
ASAH2	780					
ZW10	779					
MMEL1	779					
DHX40	779					
SUPT20H	779					
GFM2	779					
PLEKHA4	779					
VEZT	779					
PDE10A	779					
AMOTL2	779					
BRSK1	778	BRSK1				
ABLIM1	778					
ZNF749	778					
ZNF33B	778					
TROAP	778					
ACAP2	778					
KIRREL3	778					
MAGED1	778					
CTAGE15	777					
CTAGE9	777					
HGS	777					
SEMA3D	777					
NR3C1	777					
CTAGE8	777					
KLHDC7A	777					
CTAGE6	777					
CTAGE4	777					
CAGE1	777					
LRCH3	777					
ZFYVE1	777					
MTMR10	777					
ARHGEF38	777					
IFT80	777					
CUL1	776		CUL1	CUL1		
ARHGEF6	776			ARHGEF6		
RTN1	776					
QRICH1	776					
HECTD2	776					
GPRIN3	776					
PCDHB16	776					
ANKEF1	776					
SEMA3E	775					
TBC1D12	775					
ECEL1	775					
QARS	775					
KAZN	775					
DENND1B	775					
CNNM4	775					
HPS6	775					
CHPF	775					
GLIS3	775					
GCC1	775					
DCBLD2	775					
ADAM28	775					
MAMLD1	774					
DACT2	774					
RFWD3	774					
HCN3	774					
LOXL2	774					
FAM149A	773					
CPT1A	773					
TLE4	773					
LONRF1	773					
DCST2	773					
PASD1	773					
CMIP	773					
DGCR8	773					
YME1L1	773					
PANK4	773					
RPS6KA4	772	RPS6KA4				
TLK2	772	TLK2				
TLE3	772					
NFE2L1	772					
CPT1B	772					
CDH19	772					
CHPF2	772					
TTLL3	772					
SEMA3A	771					
SLC7A14	771					
PSD2	771					
UTP14A	771					
TMEM8A	771					
LRFN1	771					
LRP3	770					
SEMA4F	770					
APP	770					
STAT3	770				STAT3	
ECE1	770					
COG7	770					
DAB2	770					
TLE1	770					
PATL1	770					
CMTR2	770					
TTC14	770					
ADAM11	769					
ITGB2	769					
ITGB8	769					
ZNF585B	769					
LRIF1	769					
ZNF585A	769					
PDZD4	769					
CUL3	768		CUL3	CUL3	CUL3	
SLC45A4	768					
AFAP1L1	768					
AMPD3	767					
NSUN2	767					
SEC23B	767					
PTCHD3	767					
MAATS1	767					
DZIP1L	767					
TBC1D16	767					
GOLGA1	767					
DCLK2	766	DCLK2				
TLK1	766	TLK1				
DPP4	766					
SIM1	766					
UTP14C	766					
BRINP3	766					
ZER1	766					
FGD4	766					
ABCB9	766					
EMILIN3	766					
ANKK1	765	ANKK1				
SNRK	765	SNRK				
TOP1	765					
SEC23A	765					
LRCH2	765					
FAM160B1	765					
ZBTB49	765					
SLC30A5	765					
NOX5	765					
TRPV6	765					
ZDHHC8	765					
CFB	764					
PIGR	764					
TSHR	764					
UBTF	764					
SLC26A3	764					
FASTKD5	764					
OSBPL10	764					
TRPV2	764					
DYRK1A	763	DYRK1A				
SOX5	763					
HADHA	763					
SATB1	763					
APLP2	763					
FOXM1	763					
AOC3	763					
ANKFN1	763					
PRKG2	762	PRKG2				
CHADL	762					
CEP85	762					
PLCD4	762					
PHTF1	762					
BRINP1	761					
PLEKHM3	761					
TATDN2	761					
SEMA4A	761					
GIT1	761					
ZNF711	761					
TFRC	760					
ERCC2	760		ERCC2	ERCC2		
CLCN4	760					
FAP	760					
TMC1	760					
PIGQ	760					
SEC63	760					
DMTF1	760					
CUL4A	759				CUL4A	
GIT2	759					
LONRF3	759					
FIGN	759					
ZYG11A	759					
TRIM46	759					
SLC26A6	759					
RBM28	759					
LIMA1	759			LIMA1		
MAPT	758					
GGCX	758					
ASPH	758					
RRP1B	758					
IMMT	758					
DPY19L2	758					
CACTIN	758					
APBB2	758					
DACH1	758		DACH1			
MFN2	757					
COMP	757					
KCNC3	757					
CEP68	757					
TRMT44	757					
LINS1	757					
PIBF1	757					
ASCC2	757					
RXFP1	757					
SMURF1	757					
CD248	757					
CCPG1	757					
IKBKB	756	IKBKB				
NUTM2F	756					
AOC2	756					
RAB11FIP3	756					
MLH1	756		MLH1	MLH1	MLH1	
PLCD1	756					
SPIRE1	756					
DNTTIP2	756					
CPXM2	756					
CENPI	756					
LOXL4	756					
SH2B1	756					
MTSS1	755					
HTATSF1	755					
SLC39A6	755					
VWA2	755					
PCSK4	755					
PPM1E	755					
SENP5	755					
PWWP2A	755					
KLHL5	755					
TRIM56	755					
ANAPC5	755					
PTPDC1	754		PTPDC1			
NBN	754				NBN	
PPIG	754					
LONRF2	754					
LRRC36	754					
RXFP2	754					
ADAM7	754					
ZNF287	754					
ZKSCAN7	754					
MARK3	753	MARK3				
PPEF2	753					
CNOT3	753			CNOT3		
SOX30	753					
CEL	753					
PCSK1	753					
LOXL3	753					
MTF1	753					
SPATA5L1	753					
STRN4	753					
MARK4	752	MARK4				
ABCB7	752					
CDRT1	752					
C2	752					
MYBL1	752					
CCDC157	752					
ZNF425	752					
TPCN2	752					
DZANK1	752					
AOC1	751					
GFM1	751					
ZNF184	751					
SEMA3C	751					
ZNF337	751					
MME	750					
STAT1	750					
FOLH1	750					
CCDC142	750					
OLFML2B	750					
ARHGAP9	750					
POMT2	750					
FSD2	749					
PLA2G4A	749					
RFX3	749					
PHEX	749					
SEMA3B	749					
MAP7	749					
EFHC2	749					
LIN54	749					
SGSM3	749					
APBA2	749					
NOC2L	749					
ADAM10	748			ADAM10		
CHAT	748					
CARS	748					
STAT4	748					
ARHGAP24	748					
HJURP	748					
JPH3	748					
SMURF2	748			SMURF2		
KLHL1	748					
WDR91	747					
QSOX1	747					
KIF3B	747					
PKP1	747					
HNRNPUL2	747					
SUSD1	747					
MED25	747					
RAD54L	747				RAD54L	
EZH1	747					
SIRT1	747					
FAM83C	747					
OSBPL11	747					
MTMR12	747					
ZBTB47	747					
TPX2	747					
POMT1	747					
WDPCP	746					
CLCN5	746					
BOP1	746					
EZH2	746		EZH2	EZH2	EZH2	
EXT1	746					
MEP1A	746					
EXOC3L1	746					
ZNF761	746					
STIM2	746					
CHUK	745	CHUK				
MPO	745					
JUP	745					
ABCD1	745					
PAPOLA	745					
ZP2	745					
CUL2	745			CUL2		
ISLR2	745					
CKAP2L	745					
FBXO30	745					
CTAGE1	745					
TRIM3	744					
COL8A1	744					
NSF	744					
SLC26A5	744					
ZNF366	744					
ZNF483	744					
TRIM2	744					
ZYG11B	744					
CNOT10	744					
TBX3	743		TBX3	TBX3	TBX3	
POU2F1	743					
NAGLU	743					
TLE2	743					
ZNF267	743					
DHX32	743					
FAM160B2	743					
THNSL1	743					
ENGASE	743					
DTNA	743					
SCYL3	742	SCYL3				
CD44	742					
COLEC12	742					
SV2A	742					
ZMYND15	742					
ZNF700	742					
RNASEL	741	RNASEL				
ADARB1	741					
MGAT5	741					
NCAPH	741					
TMTC4	741					
NUTM2G	741					
MFN1	741					
MAGED4	741					
NUP88	741					
ZBTB20	741		ZBTB20			
DCLK1	740	DCLK1				
FCHSD2	740					
ACAP1	740					
RASEF	740					
DTX3L	740					
LRRN4	740					
DDX1	740					
DRC1	740					
ABCD2	740					
DAXX	740				DAXX	
POLI	740					
NAALADL1	740					
NAALAD2	740					
LETM1	739					
VCAM1	739					
GARS	739					
SLC26A2	739					
SUZ12	739			SUZ12		
SIX5	739					
IL17RD	739					
ADARB2	739					
CAPN11	739					
ADAM18	739					
AP4B1	739					
ZNF726	738					
PLOD3	738					
PECAM1	738					
ZNF84	738					
ZNF235	738					
COG2	738					
GRAMD1B	738					
LARP4B	738					
ABCB10	738					
PRKCE	737	PRKCE				
PLOD2	737					
GYS1	737					
ADD1	737					
ZNF280C	737					
DNER	737					
PROX1	737					
DDX50	737					
DPP3	737					
BRSK2	736	BRSK2				
DNM1L	736					
KRIT1	736					
DVL2	736					
BACH1	736					
HSD17B4	736					
PDE4B	736					
ZC3H14	736					
OSBPL9	736					
PAPOLG	736					
SLC6A16	736					
GPHN	736					
DGKA	735					
RFX4	735					
SYDE1	735					
FBXL13	735					
TRAPPC12	735					
ADAM2	735					
ABCB8	735					
MID2	735					
MKLN1	735					
STON1	735					
MZF1	734					
FAM111B	734					
FCRL3	734					
CPXM1	734					
CTNNAL1	734					
LAS1L	734					
FOXK1	733					
HIC1	733					
FNDC7	733					
TRMT1L	733					
EPB41L5	733					
SATB2	733					
NPHP1	732					
F13A1	732					
HSP90AA1	732			HSP90AA1		
XRCC5	732					
APEH	732					
KEL	732		KEL		KEL	
GUCY1A2	732					
LSS	732					
RNF19B	732					
IL31RA	732					
MAP7D2	732					
TYW1	732					
GNL2	731					
GPR149	731					
TAGAP	731					
ZNF615	731					
GOLGA5	731			GOLGA5		
PBXIP1	731					
KCNN3	731					
CCNT2	730					
HNRNPM	730					
RAP1GAP2	730					
AFAP1	730					
SYTL5	730					
SLC6A15	730					
DTL	730					
TRDN	729					
SLC15A2	729					
CPEB4	729					
RABL6	729					
SH3RF2	729					
BAP1	729		BAP1	BAP1	BAP1	
DDX17	729					
ZNF778	729					
RANBP9	729					
TRPV5	729					
ARHGAP28	729					
NCDN	729					
PCCA	728					
SKI	728					
HGF	728		HGF	HGF	HGF	
LNX1	728					
TRIM36	728					
HOOK1	728					
LRCH1	728					
LDB3	727					
NDUFS1	727					
GPD2	727					
MTIF2	727					
CTCF	727		CTCF	CTCF	CTCF	
PLOD1	727					
SV2C	727					
PREPL	727					
ZFAND4	727					
ELMO1	727					
YTHDC1	727					
RHOBTB2	727					
SLC6A17	727					
ESRP2	727					
ANKRD6	727					
BRD3	726	BRD3				
ADAM20	726					
CCNT1	726					
ADD2	726					
HLCS	726					
RNF219	726					
TMC8	726					
NHLRC2	726					
ANKZF1	726					
EEF2K	725	EEF2K				
CCDC144B	725					
FGD3	725					
NAA35	725					
CNST	725					
CARF	725					
DNAAF1	725					
MCCC1	725					
ZSCAN10	725					
SLC9A7	725					
KIF2C	725					
RNPEPL1	725					
GOLGA6L6	724					
HMMR	724					
HSP90AB1	724			HSP90AB1		
DLG4	724					
SARM1	724					
HHIPL2	724					
SLCO4C1	724					
LARP4	724					
GRAMD1A	724					
ACSBG1	724					
DDX4	724					
DLL1	723					
TARS	723					
RFX2	723					
EHHADH	723					
ZNF750	723		ZNF750	ZNF750		
LRSAM1	723					
DPY19L4	723					
TMC7	723					
TRIM42	723					
VPS52	723					
BBS10	723					
EPS8L1	723					
AK7	723					
GGA3	723					
EXOC3L4	722					
ATXN7L2	722					
ZNF600	722					
SLCO4A1	722					
NCKIPSD	722					
ZNF219	722					
ADAM21	722					
GNE	722					
MAPK6	721	MAPK6				
EIF2B5	721					
BBS2	721					
LRRFIP2	721					
TGM5	720					
ACSL3	720			ACSL3		
NRG3	720					
PAMR1	720					
ELMO3	720					
ELMO2	720					
ZNF408	720					
GTSE1	720					
PAK7	719	PAK7				
MROH6	719					
OAS2	719					
CAPN12	719					
SLCO6A1	719					
SLC44A5	719					
HOOK2	719					
LRFN5	719					
UIMC1	719					
SETDB2	719					
NOL11	719					
ZNF888	718					
ZNF28	718					
SLC5A3	718					
KIAA1841	718					
HOOK3	718					
NSUN7	718					
EXT2	718					
TARS2	718					
NFKBIZ	718					
KLHL4	718					
SAMD4A	718					
MAD1L1	718					
CSTF3	717					
COL13A1	717					
ZNF470	717					
FBXO42	717					
DQX1	717					
RSPH6A	717					
PNN	717					
ARNT2	717					
SUN2	717					
MTO1	717					
IKBKE	716	IKBKE			IKBKE	
MPEG1	716					
FLYWCH1	716					
RSPH4A	716					
CASC1	716					
LRRN1	716					
DPY19L3	716					
KIAA1958	716					
DVL3	716					
SRRM5	715					
FOXP2	715					
EPX	715					
MX2	715					
MTA1	715					
MST1L	715					
ZNF544	715					
BBS7	715					
CCDC13	715					
CCDC170	715					
TNS4	715					
DCBLD1	715					
SEC14L1	715					
ZDHHC5	715					
EPS8L2	715					
SCIN	715					
HUNK	714	HUNK				
SLC12A8	714					
CAPN1	714					
FRMD7	714					
AGGF1	714					
MDM1	714					
SPIRE2	714					
RBAK	714					
LRRN2	713					
CDH13	713					
PPP1R15B	713					
LRP10	713					
SDCCAG8	713					
MIPEP	713					
LRRC4B	713					
POLH	713					
ZBTB1	713					
IRAK1	712	IRAK1				
BTBD18	712					
ZBTB39	712					
LPO	712					
PDE4C	712					
TBX2	712					
TMC4	712					
TICAM1	712					
TAB3	712					
USP44	712					
SLCO1C1	712					
MST1	711	MST1				
ACSL4	711					
DDHD2	711					
DDN	711					
TPRN	711					
USP51	711					
KHSRP	711					
ALOXE3	711					
GZF1	711					
FBXO34	711					
ORC3	711					
MAPK8IP1	711					
ZNF175	711					
APBB1	710					
LTF	710					
NCL	710					
PREP	710					
SLC44A4	710					
BBS12	710					
NGEF	710					
RTF1	710					
TGM7	710					
TRIM9	710					
INTS10	710					
FASTKD2	710					
SLCO3A1	710					
MTMR11	709					
TMCC2	709					
SLCO2B1	709					
SSRP1	709					
PDE1C	709					
CAPRIN1	709					
UVSSA	709					
ARHGEF16	709					
MUC20	709			MUC20		
NCSTN	709					
ABCF3	709					
FBXO40	709					
APPL1	709					
NEK5	708	NEK5				
PJA2	708					
CAST	708			CAST		
SLC15A1	708					
FBXO43	708					
KIRREL2	708					
PEG10	708					
P3H2	708					
RNF169	708					
RUFY1	708					
LRRN3	708					
HPS4	708					
KLHL11	708					
POLR3E	708					
ZRANB1	708					
MMP9	707					
SFPQ	707			SFPQ		
ZCCHC8	707					
CNNM3	707					
SHKBP1	707					
FBXW7	707		FBXW7	FBXW7	FBXW7	
LMF2	707					
CLPB	707					
PRDM13	707					
DHX33	707					
CCDC177	707					
TMEM260	707					
ZNF224	707					
PRKCQ	706	PRKCQ				
KIF2A	706					
C2CD2L	706					
FZD6	706					
TGM6	706					
BCL6	706				BCL6	
SLC6A9	706					
ZNF132	706					
DCST1	706					
NADSYN1	706					
G2E3	706					
SLC44A2	706					
ADD3	706					
ZNF225	706					
C1R	705					
SYN1	705					
STT3A	705					
CLIP4	705					
ZNF611	705					
L3MBTL2	705					
TTC12	705					
TRAP1	704					
MTMR8	704					
CLIC6	704					
NLN	704					
PCIF1	704					
CAPN8	703					
CASC3	703					
ATG7	703					
FBLN1	703					
COL8A2	703					
GYS2	703					
AGAP9	703					
USHBP1	703					
KRI1	703					
RNF214	703					
CEP63	703					
ATF6B	703					
DHX35	703			DHX35		
CEACAM5	702					
GBE1	702					
NOL9	702					
DNAJC14	702					
PHACTR4	702					
MSLNL	702					
VRTN	702					
SLCO1B3	702					
AHRR	701					
ALOX12B	701				ALOX12B	
MEP1B	701					
PARP12	701					
PUS7L	701					
SLC26A1	701					
ACSS2	701					
FBXL17	701					
SH3BP1	701					
ACOX3	700					
PTCD1	700					
MYBL2	700					
CAPN2	700					
PTPRE	700					
ZNF234	700					
HPS1	700					
HHIP	700					
SCML2	700					
ECM2	699					
LHCGR	699					
HRC	699					
MASP1	699					
GFPT1	699					
NOLC1	699					
VPS53	699					
ZNF782	699					
C10orf90	699					
CWH43	699					
TBC1D23	699					
UVRAG	699					
DNAI1	699					
MAN1B1	699					
KIF3A	699					
TF	698					
ACSL1	698					
GLE1	698					
QSOX2	698					
ARHGAP22	698					
NOA1	698					
CPEB3	698					
SIGLEC11	698					
TSGA10	698					
MTRR	698					
PRKCG	697	PRKCG				
ZBTB24	697					
ZNF12	697					
LCA5	697					
WDR49	697					
TCTN2	697					
SIGLEC10	697					
TMEM168	697					
GGNBP2	697					
ZSCAN32	697					
ACSL6	697			ACSL6		
GOLIM4	696					
SEC14L5	696					
RHOBTB1	696					
ERICH6B	696					
SESTD1	696					
ZSWIM3	696					
SLITRK1	696					
ZNF607	696					
JPH2	696					
IL1RAPL1	696					
XPR1	696					
C2CD2	696					
DVL1	695					
FSHR	695					
AMPH	695					
KCNQ4	695					
AKAP17A	695					
LMBRD2	695					
IQCE	695					
MICALCL	695					
NUFIP2	695					
ZBED1	694					
GAB1	694					
CNGA3	694					
SAMD4B	694					
FBXL19	694					
PADI6	694					
KIAA0408	694					
GAS2L3	694					
FZD8	694					
RPH3A	694					
NFE2L3	694					
TMPO	694					
GOLGA6C	693					
GOLGA6B	693					
GOLGA6D	693					
GMPS	693					
TGM3	693					
ZBED5	693					
CRTC2	693					
ZNF441	693					
TSPYL2	693					
GOLGA6A	693					
TAB2	693					
TBC1D14	693					
NEK8	692	NEK8				
AKAP8	692					
NRROS	692					
PCSK9	692					
DCLRE1C	692					
PRMT7	692					
ZNF180	692					
ERI2	691					
NOBOX	691					
PPP1R37	691					
EPB42	691					
POU6F2	691					
SLC39A12	691					
ZNF770	691					
TBC1D15	691					
TRAF3IP1	691					
SLC28A3	691					
RAVER2	691					
CALCOCO1	691					
FBXL5	691					
SLCO1B1	691					
CAPN9	690					
NKRF	690					
